OBJECTID,Timestamp,Latitude,Longitude,Class,Observer,ObserverSi,Water_Type_Chopper,Water_Type_Satellite,transectNu,permanence,ID,Wet_Dry_Chopper,Wet_Dry_Satellite
1,2024-05-07,-13.65714094,134.3540807,2,Andrew Hoskins,Back Right,,River,m08,P,,,Wet
2,2024-05-07,-13.65581642,134.3718297,2,Andrew Hoskins,Back Right,,River/Billabong,m08,P,,,Wet
3,2024-05-07,-13.65504369,134.3934158,3,Andrew Hoskins,Back Right,,Billabong,m08,I or E,,,Dry
4,2024-05-07,-13.65992773,134.4174947,2,Andrew Hoskins,Back Right,,Stream,m08,I or E,W269,,Dry
5,2024-05-07,-13.65728627,134.5253459,2,Andrew Hoskins,Back Right,,Billabong,m08,I or E,,,Dry
6,2024-05-07,-13.65896224,134.6121387,3,Andrew Hoskins,Back Right,,Waterhole,m08,E,,,Dry
7,2024-05-07,-13.65827921,134.6138399,3,Andrew Hoskins,Back Right,,Spring/Wetland,m08,I or E,,,Dry
8,2024-05-07,-13.66155424,134.6207765,2,Andrew Hoskins,Back Right,,Stream/Billabong,m08,I or NP,,,Dry
9,2024-05-07,-13.65663543,134.6474726,2,Andrew Hoskins,Back Right,,Billabong,m08,I or E,,,Dry
10,2024-05-07,-13.55444703,134.5333229,2,Andrew Hoskins,Back Right,,Stream,m10,I,,,
11,2024-05-07,-13.53869052,134.4976003,3,Andrew Hoskins,Back Right,,waterhole,m10,I or E,,,Dry
12,2024-05-07,-13.55359759,134.4826631,3,Andrew Hoskins,Back Right,,waterhole,m10,I or E,,,Dry
13,2024-05-07,-13.55499,134.4528,2,Andrew Hoskins,Back Right,,stream,m10,I or E,,,
14,2024-05-07,-13.55375624,134.4002243,3,Andrew Hoskins,Back Right,,Waterhole,m10,I or NP,,,Dry
15,2024-05-07,-13.55503454,134.3428979,3,Andrew Hoskins,Back Right,,Spring,m10,I,,,Dry
16,2024-05-07,-13.55544,134.3101,3,Andrew Hoskins,Back Right,,Spring,m10,I,,,Dry
17,2024-05-07,-13.55539,134.2994,2,Andrew Hoskins,Back Right,,Stream,m10,,,,
18,2024-05-07,-13.55547,134.2903,3,Andrew Hoskins,Back Right,,Spring/Wetland,m10,I,,,Dry
19,2024-05-07,-13.54850682,134.2714027,2,Andrew Hoskins,Back Right,,Wetland,m10,I,W394,,Wet
20,2024-05-07,-13.55772,134.2339,3,Andrew Hoskins,Back Right,,Waterhole,m10,I or E,W385,,Dry
21,2024-05-10,-13.59116,134.0867,3,Andrew Hoskins,Back Right,,Billabong/Wetland/Spring,SW07,I,,,Dry
22,2024-05-10,-13.57594,133.9983,2,Andrew Hoskins,Back Right,,Waterhole,SW07,I or E,,,Dry
23,2024-05-10,-13.53167,133.8344,3,Andrew Hoskins,Back Right,,Spring/Stream,SW07,I or E,,,Dry
24,2024-05-10,-13.51816,133.8113,3,Andrew Hoskins,Back Right,,Spring,SW06,I,,,Dry
25,2024-05-10,-13.58918,133.6887,1,Andrew Hoskins,Back Right,,Waterhole,SW05,I,W317,,Dry
26,2024-05-07,-13.65288,134.3135,2,Holly  Lourie,Front Left,,Spring,M08,NP or P,,,Wet
27,2024-05-07,-13.65121,134.3233,2,Holly  Lourie,Front Left,,Spring,M08,NP or P,,,Wet
28,2024-05-07,-13.65569,134.3492,2,Holly  Lourie,Front Left,,Spring,M08,I,,,Dry
37,2024-05-07,-13.66015454,134.6195526,2,Holly  Lourie,Front Left,,Stream/Billabong,M08,I or NP,,,Dry
45,2024-05-07,-13.55433,134.5287,2,Holly  Lourie,Front Left,Spring,Spring/Stream,M10,I or NP,,,Wet
52,2024-05-07,-13.55781468,134.2763222,3,Holly  Lourie,Front Left,,Wetland,M10,I to E,W376,,Dry
53,2024-05-07,-13.55694802,134.2721724,2,Holly  Lourie,Front Left,,Wetland,M10,I or E,W380,,Dry
54,2024-05-07,-13.55579,134.268,2,Holly  Lourie,Front Left,, River,M10,P,,,Wet
59,2024-05-07,-13.55154483,133.9745517,3,Holly  Lourie,Front Left,Spring,Spring,M10,I,,,Dry
66,2024-05-07,-13.45822296,134.1349474,2,Holly  Lourie,Front Left,Spring,Spring,M12,I or NP,,,
76,2024-05-07,-13.64914,134.3301,2,Holly  Lourie,Front Left,Spring,Spring,M12,I or NP,W273,,Wet
82,2024-05-07,-13.70097996,134.4085071,2,Holly  Lourie,Front Left,Spring,Spring/Wetland,M12,E,,,Dry
105,2024-05-07,-13.7817811,134.4925737,3,Holly  Lourie,Front Left,Spring,Spring,M12,I,W196,,Wet
