Timestamp,Latitude,Longitude,Class,Observer,ObserverSi,Water Type Chopper,Water Type Satellite,transectNu,permanence,ID,Wet Dry Chopper,Wet Dry Satellite
2024-05-07,-13.65579,134.3538,2,Andrew Hoskins,Back Right,,River,m08,P, ,,Wet
2024-05-07,-13.65572,134.3702,2,Andrew Hoskins,Back Right,,River/Billabong,m08,P, ,,Wet
2024-05-07,-13.656,134.3936,3,Andrew Hoskins,Back Right,,Billabong,m08,I or E, ,,Dry
2024-05-07,-13.65634,134.4219,2,Andrew Hoskins,Back Right,,Stream,m08,I or E,W269,,Dry
2024-05-07,-13.65627,134.5256,2,Andrew Hoskins,Back Right,,Billabong,m08,I or E, ,,Dry
2024-05-07,-13.65712,134.6106,3,Andrew Hoskins,Back Right,,Waterhole,m08,E, ,,Dry
2024-05-07,-13.65704,134.614,3,Andrew Hoskins,Back Right,,Spring/Wetland,m08,I or E, ,,Dry
2024-05-07,-13.65681,134.6193,2,Andrew Hoskins,Back Right,,Stream/Billabong,m08,I or NP, ,,Dry
2024-05-07,-13.657,134.6463,2,Andrew Hoskins,Back Right,,Billabong,m08,I or E, ,,Dry
2024-05-07,-13.55444,134.5324,2,Andrew Hoskins,Back Right,,Stream,m10,I, ,, 
2024-05-07,-13.55394,134.494,3,Andrew Hoskins,Back Right,,waterhole,m10,I or E, ,,Dry
2024-05-07,-13.55411,134.4839,3,Andrew Hoskins,Back Right,,waterhole,m10,I or E, ,,Dry
2024-05-07,-13.55499,134.4528,2,Andrew Hoskins,Back Right,,stream,m10,I or E,,,
2024-05-07,-13.55454,134.4012,3,Andrew Hoskins,Back Right,,Waterhole,m10,I or NP, ,,Dry
2024-05-07,-13.55509,134.3425,3,Andrew Hoskins,Back Right,,Spring,m10,I, ,,Dry
2024-05-07,-13.55544,134.3101,3,Andrew Hoskins,Back Right,,Spring,m10,I, ,,Dry
2024-05-07,-13.55539,134.2994,2,Andrew Hoskins,Back Right,,Stream,m10, ,,,
2024-05-07,-13.55547,134.2903,3,Andrew Hoskins,Back Right,,Spring/Wetland,m10,I, ,,Dry
2024-05-07,-13.55577,134.2722,2,Andrew Hoskins,Back Right,,Wetland,m10,I,W394,,Wet
2024-05-07,-13.55772,134.2339,3,Andrew Hoskins,Back Right,, ,m10,,,,
2024-05-10,-13.59116,134.0867,3,Andrew Hoskins,Back Right,, ,SW07,,,,
2024-05-10,-13.57594,133.9983,2,Andrew Hoskins,Back Right,, ,SW07,,,,
2024-05-10,-13.53167,133.8344,3,Andrew Hoskins,Back Right,, ,SW07,,,,
2024-05-10,-13.51816,133.8113,3,Andrew Hoskins,Back Right,, ,SW06,,,,
2024-05-10,-13.58918,133.6887,1,Andrew Hoskins,Back Right,, ,SW05,,,,
2024-05-07,-13.65288,134.3135,2,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65121,134.3233,2,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65569,134.3492,2,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65573,134.3702,3,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65603,134.3936,3,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65609,134.3995,3,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65562,134.455,1,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65623,134.5267,2,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65731,134.5722,3,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65685,134.5935,2,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65709,134.609,3,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.65678,134.6193,2,Holly  Lourie,Front Left,,Stream/Billabong,M08,I or NP, ,,Dry
2024-05-07,-13.65696,134.6455,3,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.55492,134.5841,3,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.55495,134.5805,3,Holly  Lourie,Front Left,, ,M08,,,,
2024-05-07,-13.55441,134.5579,3,Holly  Lourie,Front Left,, ,M10,,,,
2024-05-07,-13.55432,134.544,1,Holly  Lourie,Front Left,, ,M10,,,,
2024-05-07,-13.55435,134.5432,3,Holly  Lourie,Front Left,, ,M10,,,,
2024-05-07,-13.55452,134.5349,3,Holly  Lourie,Front Left,, ,M10,,,,
2024-05-07,-13.55433,134.5287,2,Holly  Lourie,Front Left,Spring,Spring/Stream,M10,I or NP, ,,Wet
2024-05-07,-13.55401,134.4909,3,Holly  Lourie,Front Left,, ,M10, ,,,
2024-05-07,-13.55471,134.4244,2,Holly  Lourie,Front Left,, ,M10,,,,
2024-05-07,-13.55446,134.4084,3,Holly  Lourie,Front Left,, ,M10,,,,
2024-05-07,-13.55452,134.405,2,Holly  Lourie,Front Left,, ,M10,,,,
2024-05-07,-13.5547,134.3939,2,Holly  Lourie,Front Left,, ,M10,,,,
2024-05-07,-13.5554,134.2989,2,Holly  Lourie,Front Left,, ,M10, ,,,
2024-05-07,-13.55563,134.2746,3,Holly  Lourie,Front Left,,Wetland,M10,I to E,W376,,Dry
