gridx,gridy,counts
1,235,1
11,208,2
11,241,1
13,244,1
15,261,1
16,260,1
19,250,1
25,327,1
26,301,1
41,399,1
47,423,1
50,402,1
55,473,1
56,376,1
61,397,1
63,522,1
64,512,1
64,521,1
66,513,1
66,517,4
67,513,2
67,515,1
67,516,3
68,480,1
68,509,1
68,511,2
69,509,1
69,510,2
70,498,1
74,363,1
75,400,1
78,472,1
79,251,1
80,254,2
82,269,1
84,429,1
90,229,1
90,490,1
91,118,2
91,477,1
91,484,1
94,483,1
95,234,1
98,317,1
98,393,1
98,444,1
103,67,1
104,320,1
105,67,4
105,102,1
106,67,4
107,67,2
107,70,1
107,99,2
107,544,1
108,68,1
108,69,6
108,70,3
109,494,1
110,105,1
110,150,1
111,254,1
115,107,1
116,636,1
117,109,1
118,75,2
118,106,1
118,115,1
118,118,1
118,254,1
119,112,1
119,236,1
119,403,1
120,111,1
120,120,1
121,108,1
122,108,1
123,125,1
125,109,1
125,211,1
125,514,1
127,122,1
128,86,1
128,130,1
131,136,1
133,136,1
134,91,1
134,109,1
134,113,1
134,117,1
134,160,1
134,169,1
134,170,1
135,128,1
135,129,1
135,130,2
135,131,1
135,132,1
135,175,1
136,130,1
138,125,1
138,157,1
138,223,1
140,235,1
141,189,1
143,132,1
145,148,1
147,147,1
147,150,1
147,277,1
149,106,1
149,304,1
149,606,1
152,151,1
153,136,1
154,136,1
154,211,1
154,389,1
155,136,1
155,314,1
156,211,1
156,314,1
157,95,1
157,154,1
157,252,1
158,97,1
158,212,1
161,128,1
163,246,1
163,473,1
164,59,1
165,96,1
166,330,1
167,105,1
170,174,1
171,565,1
173,75,1
174,262,1
178,480,1
179,169,1
179,339,1
180,111,1
182,126,1
182,352,1
182,421,1
183,35,1
183,63,1
183,86,1
184,32,1
184,34,1
184,35,1
184,545,1
186,41,2
187,158,1
187,290,1
189,34,1
189,35,1
189,372,1
190,32,1
190,51,1
191,41,1
192,38,1
192,43,1
192,234,1
192,512,1
193,43,2
195,337,1
196,263,1
196,533,1
197,42,1
197,45,1
197,60,2
197,128,1
197,373,1
199,190,1
199,324,1
202,199,1
203,485,2
203,529,1
204,40,1
208,59,1
208,124,1
209,120,1
210,154,1
211,2,1
212,446,1
213,36,1
213,44,1
214,54,1
215,1,1
215,37,1
217,48,1
217,148,1
217,192,1
217,531,1
218,147,1
218,223,1
219,148,1
219,431,1
220,47,1
221,132,1
221,210,1
223,393,1
223,502,1
224,189,1
226,34,1
226,129,1
226,375,2
226,492,1
230,63,1
230,587,1
233,465,1
235,418,1
235,419,1
236,128,1
241,325,1
242,370,1
243,304,1
245,471,1
246,425,1
248,153,1
256,407,1
258,433,1
260,419,1
261,310,1
262,425,1
263,210,1
264,240,2
267,244,1
268,339,1
268,421,1
268,436,1
268,447,1
270,333,1
270,528,1
273,372,1
273,416,1
273,460,1
273,464,1
273,476,1
274,475,2
275,286,1
275,428,1
275,509,1
275,516,1
276,514,2
276,515,1
277,398,1
278,417,1
278,418,1
278,419,2
279,316,1
279,418,1
280,357,1
280,401,1
280,403,2
280,405,1
280,416,1
281,403,3
281,404,1
282,351,1
282,356,1
282,547,1
305,570,1
320,562,1
324,594,1
342,610,1
