year,gridx,gridy,count
2017,3,109,109
2017,4,107,113
2017,4,108,110
2017,4,109,110
2017,4,110,110
2017,5,106,124
2017,5,107,121
2017,5,108,119
2017,5,109,119
2017,6,106,120
2017,7,100,98
2017,8,100,120
2017,8,105,120
2017,8,106,114
2017,8,107,107
2017,8,108,106
2017,9,94,110
2017,9,95,106
2017,9,98,108
2017,9,99,118
2017,9,100,124
2017,9,101,125
2017,9,102,112
2017,9,103,109
2017,9,105,121
2017,9,106,120
2017,10,94,114
2017,10,95,114
2017,10,96,117
2017,10,97,117
2017,10,98,112
2017,10,99,118
2017,10,100,121
2017,10,101,124
2017,10,102,120
2017,10,103,114
2017,10,104,117
2017,10,105,119
2017,10,106,119
2017,11,95,116
2017,11,96,116
2017,11,97,112
2017,11,98,115
2017,11,99,118
2017,11,100,122
2017,11,101,114
2017,11,102,115
2017,11,103,116
2017,11,104,118
2017,11,105,118
2017,11,106,117
2017,12,95,112
2017,12,96,114
2017,12,97,109
2017,12,98,109
2017,12,99,115
2017,12,100,115
2017,12,101,119
2017,12,102,120
2017,12,103,119
2017,12,104,116
2017,12,105,118
2017,12,106,116
2017,12,107,114
2017,13,100,108
2017,13,101,116
2017,13,102,124
2017,65,193,111
2017,65,194,114
2017,65,242,90
2017,66,189,113
2017,66,190,113
2017,66,191,111
2017,66,193,114
2017,66,194,109
2017,66,195,107
2017,66,242,98
2017,66,243,95
2017,67,186,106
2017,67,187,106
2017,67,188,109
2017,67,189,112
2017,67,190,112
2017,67,191,110
2017,67,192,112
2017,67,193,113
2017,67,194,110
2017,67,195,109
2017,67,198,108
2017,67,199,104
2017,67,242,97
2017,67,243,96
2017,67,244,90
2017,68,186,101
2017,68,187,107
2017,68,188,110
2017,68,189,109
2017,68,190,111
2017,68,191,112
2017,68,192,111
2017,68,193,110
2017,68,194,105
2017,68,195,109
2017,68,196,107
2017,68,197,110
2017,68,198,108
2017,68,199,106
2017,68,200,100
2017,68,201,102
2017,68,242,100
2017,68,243,99
2017,68,244,97
2017,69,186,107
2017,69,187,109
2017,69,188,106
2017,69,189,105
2017,69,190,111
2017,69,191,110
2017,69,192,110
2017,69,193,106
2017,69,194,104
2017,69,195,104
2017,69,196,104
2017,69,197,105
2017,69,198,105
2017,69,199,104
2017,69,200,103
2017,69,201,107
2017,69,202,104
2017,69,244,93
2017,70,186,109
2017,70,187,105
2017,70,188,106
2017,70,189,110
2017,70,190,112
2017,70,191,112
2017,70,192,111
2017,70,193,103
2017,70,194,104
2017,70,195,107
2017,70,197,108
2017,70,198,104
2017,70,199,103
2017,70,200,102
2017,70,201,108
2017,71,187,101
2017,71,192,102
2017,71,193,105
2017,71,194,109
2017,71,196,107
2017,71,197,105
2017,71,198,101
2017,71,199,105
2017,71,200,107
2017,71,241,100
2017,72,192,105
2017,72,193,108
2017,72,196,104
2017,73,193,103
2017,75,165,90
2017,76,143,102
2017,76,144,99
2017,76,145,99
2017,76,146,101
2017,76,162,92
2017,76,189,100
2017,76,190,102
2017,76,191,97
2017,76,192,97
2017,76,195,93
2017,76,196,90
2017,76,199,97
2017,77,136,96
2017,77,137,95
2017,77,138,100
2017,77,142,99
2017,77,143,99
2017,77,144,101
2017,77,145,99
2017,77,146,101
2017,77,155,97
2017,77,156,98
2017,77,162,90
2017,77,163,91
2017,77,189,103
2017,77,190,101
2017,77,191,98
2017,77,195,96
2017,77,196,102
2017,77,197,98
2017,77,198,99
2017,77,199,95
2017,78,132,95
2017,78,133,95
2017,78,134,100
2017,78,135,98
2017,78,137,82
2017,78,142,99
2017,78,143,101
2017,78,144,100
2017,78,145,100
2017,78,155,88
2017,78,156,95
2017,78,163,93
2017,78,164,95
2017,78,165,94
2017,78,189,99
